timestamp,method,fps,total_detected_objects,all_three_detected,object_label,aspect_ratio,long_ratio,extent,solidity,vertices,area,box_area,x,y,w,h
20260627_165900,SOBEL,30,3,YES,Book/Notebook,0.771,1.296,0.839,0.979,4,19813.5,23625,200,253,135,175
20260627_165900,SOBEL,30,3,YES,Box,0.983,1.017,0.463,0.719,6,6446.5,13923,434,63,117,119
20260627_165900,SOBEL,30,3,YES,Sunglasses,2.473,2.473,0.688,0.827,6,5145,7480,244,118,136,55
20260627_165905,SOBEL,26.3,3,YES,Book/Notebook,0.782,1.278,0.857,0.977,4,19366,22610,205,259,133,170
20260627_165905,SOBEL,26.3,3,YES,Box,1.009,1.009,0.46,0.723,6,6354.5,13806,447,78,118,117
20260627_165905,SOBEL,26.3,3,YES,Sunglasses,2.558,2.558,0.718,0.83,6,4969,6916,260,127,133,52
20260627_165909,LAPLACIAN,30.3,3,YES,Book/Notebook,0.789,1.267,0.836,0.963,4,19293,23085,202,260,135,171
20260627_165909,LAPLACIAN,30.3,3,YES,Box,0.933,1.072,0.532,0.813,6,7030,13209,453,78,111,119
20260627_165909,LAPLACIAN,30.3,3,YES,Sunglasses,2.68,2.68,0.749,0.851,6,5016,6700,258,127,134,50
20260627_165923,CANNY,29.7,3,YES,Book/Notebook,0.783,1.277,0.848,0.977,4,18290.5,21580,190,249,130,166
20260627_165923,CANNY,29.7,3,YES,Box,1.174,1.174,0.384,0.551,7,5963,15525,407,66,135,115
20260627_165923,CANNY,29.7,3,YES,Sunglasses,2.787,2.787,0.705,0.818,6,4343,6157,243,117,131,47